"city","population","total_billed_gallons","US_census_region","Climate_region","Annual.precipitation","Annual.max.temperature","Annual.vapor.pressure.deficit","Family.income.2010","GDP.per.capita.2016","Total.housing.units","Percent.single.family.houses","Percent.medium.density.houses","Percent.high.density.houses","Percent.housing.units.built.1990.or.later","Percent.housing.units.built.between.1950.1989","Percent.housing.units.built.before.1950","Percent.housing.units.built.earlier.to.1990","Median.rooms","Percent.impervious.area","Area.open.NLCD","Area.low.development.NLCD","Area.medium.development.NLCD","Area.high.development.NLCD","Service.area.sq.meters","Pop.density","Water.percap"
"Abilene, Texas",124950,486177333.333333,"South","Temperate",52.2,24.875,22.875,51012,37553,48739,69.1,22.9,4.5,21.9,63.3,14.7,78,5.3,16.4,13874.8,10720.6,6208.8,3755.7,290335000,0.000430364923278282,3890.97505668934
"Aiken, South Carolina",30571,210369265.333333,"South","Temperate",100.9916667,24.19166667,19.53333333,75212,52750,14679,70.2,24.8,3.4,44.8,49.6,7.1,56.7,6,9,7626.2,6274.4,1805.4,573.7,194774000,0.000156956267263598,6881.33411839107
"Alamogordo, New Mexico",31283,102981484.065,"West","Arid",25.575,24.25833333,26.525,49297,57892,14938,69,13.4,0.7,31.2,69.3,4.5,73.8,5.4,14.4,1792,3050.2,965,208.4,56002000,0.000558605049819649,3291.93121072148
"Albuquerque, New Mexico",670779,2354215930,"West","Arid",20.19166667,22.05,24.85,59191,42723,243402,62.5,24,9.5,34.1,57.6,7.2,64.8,5.3,26.9,11553.2,32002.9,24592.5,5344.4,489188000,0.00137120902393354,3509.67446804387
"Altoona, Pennsylvania",52274,179420619.333333,"Northeast","Continental",80.8,15.16666667,10.66666667,48750,37482,20813,72.3,22,5,5.4,37.1,58.7,95.8,6.1,18.9,4855.7,6346.8,3384.4,1673.1,131990000,0.00039604515493598,3432.31088750303
"Amarillo, Texas",214338,2892715250,"South","Arid",41.40833333,21.51666667,21.175,55067,45788,83785,71.7,17.6,6.8,23.2,62.3,14.9,77.2,5.1,25.2,7145.7,19825.2,7535.3,4717.4,266556000,0.00080410120199883,13496.0447984025
"Annapolis, Maryland",39420,89942250,"South","Temperate",97.575,18.08333333,12.55833333,88646,58970,17358,37.1,50.6,12.4,23.7,55.4,19.9,75.3,5.3,32.4,780.5,1572.5,1125.2,393.7,20991700,0.00187788506886055,2281.6400304414
"Arlington, Texas",370759,1386505416.66667,"South","Temperate",82.51666667,24.65,20.425,61068,63660,147407,60.1,29.6,9,31.7,65.3,1.7,67,5.2,34.8,12585.8,18430.1,13634.6,6999.2,257718000,0.00143862283581279,3739.64062009733
"Asheville, North Carolina",125000,455927193.333333,"South","Temperate",79.59166667,19.30833333,13.31666667,53439,36925,43856,54.6,31.3,10,29.9,44.3,26.2,70.5,5,9.8,36381.8,12329.8,5598.9,2036.7,472590000,0.000264499883620051,3647.41754666667
"Auburn, Maine",17220,79988583.3333333,"Northeast","Continental",97.875,12.85,9.55,56656,33300,10857,52.4,36.3,9.4,12.5,37.6,49.3,86.9,5.3,26.6,2097.3,1885.5,1387.7,852.8,37249400,0.000462289325465645,4645.09775454897
"Augusta, Maine",18537,53210833.3333333,"Northeast","Continental",94.21666667,12.78333333,9.241666667,51941,41017,9836,50.9,37.6,7.3,11.6,49,37.3,86.3,5,17.3,2192.3,2009.5,1558.7,826.2,60108600,0.000308391810822411,2870.52022081962
"Aurora, Colorado",355441,1179312894.16667,"West","Continental",38.16666667,17.86666667,17.75,58094,62947,132931,50.9,33.9,13.4,30,67.3,2,69.3,5.4,18.8,10323.9,15968.9,13012.6,4532.1,399393000,0.000889953003683089,3317.88649639931
"Austin, Texas",1006601,3309745618.08333,"South","Temperate",72.775,26.39166667,22.125,63997,61308,393616,46.9,30.4,21.3,41.7,50.9,5.6,56.5,4.5,15.4,53956,36432,34782.1,17889,1418780000,0.000709483499908372,3288.04125774099
"Bangor, Maine",32333,99371862.3333333,"Northeast","Continental",87.15833333,12.33333333,9.1,56955,34340,15709,42.5,43.6,8.6,14.4,41.4,42.3,83.7,5,21.7,2811,2841.9,3002.8,1893.3,89599600,0.000360860985986545,3073.38825142527
"Baytown, Texas",75310,292433500,"South","Temperate",121.0833333,25.8,16.14166667,54843,57137,29356,60.7,25.4,8.3,30,55.9,12.9,68.8,5.1,28,4731.67,4931.33,4335.91,2058.23,96827100,0.000777778122034017,3883.0633382021
"Belgrade, Montana",8254,35402083.3333333,"West","Continental",29.66666667,14.1,13.84166667,51943,42615,3238,49.3,40.3,3.2,53.2,38.5,5,43.5,5.4,25.5,273,559.3,596.6,43,9860680,0.000837061947046248,4289.08206122284
"Bend, Oregon",61790,367726317.041667,"West","Arid",24.06666667,15.64166667,14.4,64128,46604,38970,68.6,21,5.4,60.2,33.5,5.5,39,5.3,22.9,3782.9,6136.9,1799.7,344.1,68356200,0.000903941412776017,5951.22701151751
"Blacksburg, Virginia",35669,76592925,"South","Continental",85.10833333,17.69166667,12.03333333,81098,33393,15472,32.5,59,6.3,33.3,53.8,6.4,60.2,5.1,21.5,1943.2,2854.9,1775.2,471.9,51041400,0.000698824875493227,2147.3247077294
"Bloomington, Indiana",120984,334549166.666667,"Midwest","Continental",101.75,17.43333333,11.64166667,55466,58933,33766,35.1,47.9,13.6,37.9,49.7,10.9,60.6,4.6,13.8,5831.7,4752.9,2712.6,902.5,133977000,0.00090302066772655,2765.23479688774
"Bloomington, Minnesota",87224,288587445.216667,"Midwest","Continental",70.10833333,12.81666667,10.34166667,76601,58933,37654,57.7,16.5,25.3,12.1,81.3,6.5,87.8,6,31.6,4603,6466.4,4527.7,2511.6,99473900,0.000876853124286873,3308.57843273258
"Boston, Massachusetts",1180000,1780827159.08333,"Northeast","Continental",101.1083333,15,9.85,58600,76831,285660,12.3,63.5,24.2,12.6,29.5,57.1,86.6,4.3,59.4,1689,3866.9,11795.6,10587,129923000,0.00908230259461373,1509.1755585452
"Boulder City, Nevada",21631,318537083.333333,"West","Arid",10.525,27.275,35.73333333,79089,57892,7603,62.6,20,2,27.9,58,12.2,70.2,5.3,1.7,1536.4,2070.6,1438.6,169.2,539483000,4.00957954189474e-05,14725.9527221734
"Bowie, Maryland",21703,39884611.1108333,"South","Temperate",94.69166667,18.775,13.85,114827,58970,21330,70.9,24.3,4.8,38.5,60.9,1.5,62.4,7.3,22.5,799.1,1362.2,115.8,50.7,11319600,0.00191729389731086,1837.74644569107
"Bozeman, Montana",44921,155020390.721667,"West","Continental",40.775,13.93333333,13.45833333,59683,42615,19972,40.3,49.7,6.5,50.5,35.3,11.8,47.1,4.9,17.1,4064.6,3663.8,1900.6,328.4,72321900,0.000621125827723,3450.95591642365
"Brownsville, Texas",183823,541788666.666667,"South","Temperate",57.03333333,28.56666667,20.19166667,31760,20971,56316,69.1,20,6,47.9,44.6,5,49.6,5,13.5,6698.6,10031.6,9585.9,2835.5,378348000,0.000485856935942571,2947.33883500251
"Casper, Wyoming",55000,289023370.083333,"West","Continental",29.15833333,15.3,16.44166667,62721,63008,26238,67.9,18.9,8.5,20.3,62.6,15.5,78.1,5.9,26.1,2643.9,3842,3831.7,591.9,69406600,0.00079243184365752,5254.97036515151
"Charlotte, North Carolina",954644,2756114265.08333,"South","Temperate",93.44166667,21.84166667,16.2,63272,57209,343222,56.2,29.8,12.7,49,44.7,5.9,50.6,5.4,25.7,69376.1,55235.7,24087.6,13266,798209000,0.00119598250583494,2887.05974696676
"Chillicothe, Missouri",9515,38606245,"Midwest","Continental",85.16666667,17.5,12.475,46389,44837,3954,73.5,18.6,3,15.1,56.8,27.2,84,5.6,21.8,893.4,1400.1,498.5,233.6,19805100,0.000480431807968655,4057.40882816605
"Clovis, California",111927,510382250,"West","Arid",27.95833333,25.18333333,24.41666667,75918,63635,37217,73.2,19.9,4.6,52.4,45.5,2.2,47.7,5.7,42.1,1691.2,2138.9,6977.2,1508.2,65151400,0.00171795233870646,4559.95648949762
"Dallas, Texas",1322140,4665627601.08333,"South","Temperate",81.56666667,24.65,20.425,45162,63660,552711,43.9,32.6,22.4,24.2,63.3,11.2,74.5,4.5,29.9,46840.8,52871.4,36487.6,32099.7,997252000,0.00132578325237753,3528.84535758946
"Dalton, Georgia",104698,544632391.666667,"South","Temperate",114.9166667,21.75,15.325,45855,40569,12862,45,46.9,7,33.6,56.9,6.9,63.8,4.8,32.1,3155.9,3272.8,2167.7,1586.4,52595400,0.00199063035930899,5201.93692015766
"Des Moines, Iowa",499654,1279129154.83333,"Midwest","Continental",71.66666667,15.46666667,11.40833333,54540,75076,91420,64.9,17.5,15.4,16.1,46.4,36.8,83.2,5.1,23.8,11152.9,16984.8,6525.7,3495.5,234996000,0.00212622342507958,2560.02985032309
"Dickinson, North Dakota",22709,73447600,"Midwest","Continental",34.95,12.75833333,11.96666667,63807,67601,10504,54.6,23.4,15.4,29.9,50.5,10,60.5,5.5,13.6,1727.4,2207.8,1513.4,310.7,63533100,0.000357435730351581,3234.29477299749
"Durham, North Carolina",268612,658975515.385714,"South","Temperate",98.56666667,21.46666667,15.8,59324,66714,113566,53.1,36.6,9.5,45.4,43.4,10.8,54.2,5.2,13.8,33785.2,16386.2,9094.1,2631.3,453968000,0.000591698093257675,2453.26163903963
"El Paso, Texas",798591,2915455929.66667,"South","Arid",20.56666667,25.8,29.13333333,42156,30009,245993,67.2,23.9,6.1,35.6,54.5,8.8,63.3,5.3,26.1,13930.2,33025.9,30704.3,12335.4,668795000,0.00119407441742238,3650.74979516006
"Enid, Oklahoma",50785,273549250,"South","Temperate",71.03333333,21.45833333,18.275,47213,51918,21801,79,14.2,3.5,12.5,63,23.8,86.8,5.4,12.7,5833.5,5760.8,3336.7,1644.6,191755000,0.000264843159239655,5386.41823373043
"Farmington, New Mexico",41630,293468309.166667,"West","Arid",18.80833333,19.75833333,21.51666667,60929,46654,17720,61.6,17.6,1.9,32.2,67.6,2.9,70.5,5.4,20.2,1998.3,3194.9,3860.1,794.7,90516700,0.000459915131682883,7049.44292977821
"Flagstaff, Arizona",71656,202484813.225,"West","Continental",44.73333333,16.96666667,16.13333333,64414,35395,27056,46.5,40.1,7.3,46.8,49.7,4.7,54.4,5,23.6,2877,2916.1,4071.9,1481.4,88591100,0.000808839714147358,2825.79006956849
"Fort Smith, Arkansas",126758,635073519.425,"South","Temperate",99.45833333,22.50833333,17.43333333,45171,31654,39602,65.1,28.2,6,23.1,61.1,15.9,77,5.2,17.6,8714.7,11155.1,5306.1,2489.7,231262000,0.000548114260016777,5010.12574689566
"Fort Worth, Texas",855504,2858553427.58333,"South","Temperate",76.79166667,24.78333333,20.86666667,56581,63660,312120,67.4,21.5,9.6,42.8,43.4,11.9,55.3,5.2,23.5,69870.5,92601,59505.2,31587.2,1782060000,0.000480064644288071,3341.36769387792
"Gainesville, Florida",128610,587911666.666667,"South","Temperate",108.4833333,26.78333333,18.625,50495,38551,59042,39,42.6,15.7,30.6,62.5,5.6,68.1,4.7,10.8,18276.3,10316.9,4237,854.2,306675000,0.000419369038884813,4571.27491382215
"Garland, Texas",235885,774479366.666667,"South","Temperate",83.48333333,24.35,19.76666667,57856,57137,80202,71.5,22.5,5.8,20.8,76.3,2.2,78.5,5.5,40,5348.1,12219.5,8974.4,4673.6,147381000,0.0016005115991885,3283.29214094439
"Grand Forks, North Dakota",56834,200211416.666667,"Midwest","Continental",45.7,10.35833333,9.158333333,65363,48153,26223,38,31.6,27.9,28.9,50.9,16.2,67.1,4.9,27.5,2697.1,4465.9,2816.1,1347.2,70749900,0.000803308555913153,3522.74020246097
"Grand Island, Nebraska",50895,342183383.666667,"Midwest","Continental",57.76666667,16.675,13.63333333,51649,44305,20266,65,26.1,5,23.1,51.4,23.3,74.7,5.4,33,2360.8,3756.9,4887.7,1874.3,77556600,0.000656230417527328,6723.32024101909
"Green River, Wyoming",12800,62154805.0583333,"West","Arid",17.99166667,14.425,15.79166667,80578,65239,4913,69.2,15.1,1.8,17.4,68.9,10.2,79.1,6.2,41,238.9,700.3,929.2,126.3,9468370,0.00135186943476015,4855.84414518229
"Greensboro, North Carolina",287027,891605341,"South","Temperate",91.86666667,20.7,15.08333333,54813,46353,129162,54.2,37.2,7.3,36.5,55.1,9.1,64.2,5.2,17.4,34621.2,28874,14790.6,7552.3,658336000,0.000435988613717008,3106.34658411926
"Havre, Montana",9772,42808333.3333333,"West","Arid",26.825,13.89166667,14.04166667,58705,42615,4416,66,21,3.8,7.1,61.4,33.7,95.1,5.4,30.3,327.9,903.4,431,98.3,9607560,0.00101711568806232,4380.71360349297
"Hereford, Texas",15299,127890916.666667,"South","Arid",41.725,21.94166667,22.03333333,46975,57137,5496,77.2,15.7,1.9,11.6,70.7,17.9,88.6,5.1,30.3,880.2,1597.9,515.7,267.4,15896100,0.00096243732739477,8359.42981022725
"International Falls, Minnesota",6226,13629351.9166667,"Midwest","Continental",58.20833333,9.108333333,8.05,53848,57445,3085,67.2,18.1,6.1,14.5,56.3,27.3,83.6,5.1,39.8,90.4,558.6,1186.3,703.9,16614400,0.000374735169491525,2189.1024601135
"Iowa City, Iowa",74398,166094556.891667,"Midwest","Continental",77.925,15.36666667,11.38333333,71794,52660,31669,42.5,44.6,10.8,32.8,48.6,16.5,65.1,5,25.3,3867.6,4262.5,2326.3,1107.8,67744900,0.00109820813079656,2232.51373547228
"Jonesboro, Arkansas",94413,425417313,"South","Temperate",103.875,21.28333333,15.09166667,55445,34419,31264,66.1,25.7,4.6,51,43,5.4,48.4,5.3,11.7,10879.6,5577.2,3424.1,1404.3,209294000,0.00045110227717947,4505.91881414636
"Kansas City, Missouri",482118,2094072355.41667,"Midwest","Continental",88.43333333,18.6,13.76666667,55835,53652,229508,63,24.1,12,21.9,49.1,28.2,77.3,5.5,21.5,36640.5,45209.9,23075.9,12508.1,826021000,0.00058366312720863,4343.48511239295
"Kearney, Nebraska",33039,192874416.666667,"Midwest","Continental",52.78333333,16.90833333,14.15,59462,57892,13615,58.7,30,5.2,34,52.9,14.8,67.7,5.7,31.9,1439.6,3025.7,2061.1,605.9,38820800,0.000851064377859292,5837.7800982677
"Kenner, Louisiana",436523,1255296750,"South","Temperate",133.5583333,25.46666667,15.925,58521,48753,28205,57,30,11.6,15,80.5,3.5,84,5.4,14.4,3147.2,15769.6,6102.7,4080.1,382867000,0.00114014266050613,2875.67149955443
"Kennewick, Washington",81355,328917000.008333,"West","Arid",16.00833333,18.575,16.89166667,59435,41224,29997,59.5,26.6,7.1,34.6,59.9,5.9,65.8,5.5,25.1,5908.2,11074.8,10164.4,906.6,186820000,0.000435472647468151,4042.98445096593
"La Crosse, Wisconsin",52000,252210634.391667,"Midwest","Continental",72.60833333,13.10833333,9.616666667,55881,46585,22405,50,32.8,15.6,16.7,45.7,35.1,80.8,5.2,31.6,1337.6,2815.9,3732.3,1494.1,61680300,0.000843056859321372,4850.20450753205
"Lafayette, Louisiana",127429,629723250,"South","Temperate",133.3666667,25.45,16.55,58599,39052,55440,62.1,26.1,9.3,30.2,64.5,7.8,72.3,5.1,16.2,10605.3,19754.6,4673.1,2611.6,326841000,0.000389880706520908,4941.75776314654
"Lancaster, California",178875,953049598.958333,"West","Arid",14.375,24.79166667,28.65,56082,45846,53330,70.8,15.5,6.7,35.2,65,1.7,66.7,6.2,13.7,7553.4,5314.7,8613,776.4,244914000,0.000730358411524045,5328.02011996273
